,,,,,,,,,," 16,542,750,383 "
Accounting Period Year,Accounting Period Month,Month Manufactured,Day Manufactured,Year Manufactured,Plant of Manufacture,Train,Plant Code,Trade Product Code,Value Center Code, Inventory Net Weight LBS 
2013,02,October,23,2012,Plant R,2E,1156,00086285,00009995," 635,869 "
2013,02,October,23,2012,Plant R,2F,1156,00086285,00009995," 648,399 "
2013,02,October,23,2012,Plant W,4B,1159,00188615,00009995," 420,676 "
2013,02,October,23,2012,Plant W,4F,1159,00188615,00009995," 424,806 "
2013,02,October,23,2012,Plant X,1A,1155,00086090,00010270," 322,679 "
2013,02,October,24,2012,Plant N,3J,1116,00002160,00007129," 433,204 "
2013,02,October,24,2012,Plant W,4E,1152,00013472,00009995," 280,633 "
2013,02,October,25,2012,Plant C,62,1116,00024793,00007129," 226,393 "
2013,02,October,25,2012,Plant N,3A,1116,00002160,00007129," 285,592 "
2013,02,October,25,2012,Plant N,3B,1116,00002160,00007129," 426,370 "
2013,02,October,26,2012,Plant C,33,1126,00068675,00021701," 868,863 "
2013,02,October,27,2012,Plant C,32,1126,00068675,00021701," 859,736 "
2013,02,October,27,2012,Plant C,33,1126,00068675,00021701," 870,450 "
2013,02,October,28,2012,Plant A,1E,1112,00064724,00007129," 427,415 "
2013,02,October,28,2012,Plant D,01,1116,00040878,00007961," 579,900 "
2013,02,October,28,2012,Plant M,11,1160,00062995,00007119," 389,600 "
2013,02,October,29,2012,Plant A,1C,1112,00064724,00007129," 423,283 "
2013,02,October,29,2012,Plant D,01,1127,00040878,00007961," 586,800 "
2013,02,October,29,2012,Plant R,1H,1124,00086301,00009995," 641,753 "
2013,02,October,29,2012,Plant R,1I,1124,00086301,00009995," 639,511 "
2013,02,October,30,2012,Plant D,02,1127,00070226,00007961," 536,550 "
2013,02,October,30,2012,Plant M,13,1116,00022497,00007119," 380,600 "
2013,02,October,30,2012,Plant R,1A,1124,00086301,00009995," 645,058 "
2013,02,October,30,2012,Plant R,1B,1124,00086301,00009995," 643,075 "
2013,02,October,30,2012,Plant R,1C,1124,00086301,00009995," 642,745 "
2013,02,October,30,2012,Plant T,3E,1130,00092909,00009995," 197,944 "
2013,02,October,31,2012,Plant D,01,1127,00070226,00007961," 584,850 "
2013,02,October,31,2012,Plant T,3H,1149,00092961,00009995," 643,736 "
2013,02,November,01,2012,Plant B,EH,1121,00102455,00007960," 486,000 "
2013,02,November,01,2012,Plant M,11,1116,00022497,00007119," 383,075 "
2013,02,November,01,2012,Plant T,3A,1149,00092961,00009995," 636,306 "
2013,02,November,01,2012,Plant U,2B,1150,00356486,00010269," 764,915 "
2013,02,November,01,2012,Plant W,S1,1152,00092900,00009995," 633,392 "
2013,02,November,02,2012,Plant B,EA,1121,00102455,00007960," 477,631 "
2013,02,November,02,2012,Plant B,EB,1121,00102455,00007960," 479,395 "
